                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 2.0103,                 1.5953,                 1.8138,                 1.8038,                0.51196,                0.03333,                0.00494,                0.00084,                0.51196,                0.03333,                0.00538,                0.00117,                  3.105,                 3.7501,                 4.6572,                 2.3205,              0.0015152,              0.0015152,              0.0015152
                     48,                 2.0862,                 1.6211,                 1.7476,                   1.76,                0.62653,                0.11667,                0.07222,                0.01575,                0.71199,                0.11667,                0.11483,                0.03315,                 2.9878,                 5.2131,                 3.2727,                 2.3176,              0.0015119,              0.0015119,              0.0015119
                     49,                 1.9469,                 1.4808,                  1.773,                 1.7858,                0.79816,                0.03333,                0.04784,                0.01745,                0.79816,                0.03333,                0.04157,                0.01941,                 2.8086,                 8.7033,                 4.3967,                 2.2887,              0.0015086,              0.0015086,              0.0015086
                     50,                 2.0442,                 1.7219,                  1.792,                 1.7255,                0.12761,                0.13333,                0.08079,                 0.0296,                0.13456,                0.13333,                0.08851,                0.04448,                  2.775,                 6.8594,                 4.5313,                 2.3267,              0.0015053,              0.0015053,              0.0015053
                     51,                 1.9482,                 1.5771,                 1.7196,                 1.7251,                0.10523,                0.01667,                0.03132,                0.00792,                0.10523,                0.01667,                0.02991,                0.01119,                  2.817,                 11.426,                 4.2391,                 2.2238,               0.001502,               0.001502,               0.001502
                     52,                 1.8732,                 1.6334,                 1.6902,                 1.7342,                0.50535,                   0.15,                0.00295,                0.00088,                0.50476,                0.13333,                0.00193,                0.00062,                  2.981,                   16.4,                 5.7601,                 2.4022,              0.0014987,              0.0014987,              0.0014987
                     53,                 2.0418,                 1.7964,                 1.8425,                 1.6932,                0.61629,                0.16667,                0.06461,                0.01468,                0.66256,                0.13333,                0.10942,                 0.0523,                 2.9861,                 8.1799,                 3.2885,                 2.3362,              0.0014954,              0.0014954,              0.0014954
                     54,                  2.006,                 1.4302,                 1.7467,                 1.7706,                0.57913,                0.18333,                0.05359,                 0.0159,                0.58934,                0.11667,                0.08805,                  0.041,                 2.8586,                 4.2037,                 2.4365,                  2.374,              0.0014921,              0.0014921,              0.0014921
                     55,                 2.0085,                  1.665,                 1.7181,                  1.741,                0.63295,                0.13333,                0.07895,                 0.0258,                0.66998,                0.16667,                0.12798,                 0.0566,                 2.4619,                 2.0204,                 2.9124,                 2.2717,              0.0014888,              0.0014888,              0.0014888
                     56,                 2.0155,                 1.5111,                 1.7529,                 1.7239,                0.10318,                0.23333,                0.18407,                0.04376,                0.14434,                   0.25,                0.14882,                0.06956,                 2.4139,                 1.9761,                 3.0304,                 2.2045,              0.0014855,              0.0014855,              0.0014855
